 < 23:51:55 >  54,7870941162109 52,34375 50 
 < 23:51:56 >  54,6073265075684 52,34375 50 
 < 23:51:57 >  54,6035270690918 52,3148155212402 50 
 < 23:51:58 >  54,5836486816406 52,2858772277832 50 
 < 23:51:59 >  54,5691986083984 52,2569427490234 50 
 < 23:52:00 >  54,5596694946289 52,2280082702637 50 
 < 23:52:01 >  54,2242088317871 52,2569427490234 50 
 < 23:52:02 >  54,0983390808105 52,2569427490234 50 
 < 23:52:03 >  53,9464530944824 52,2569427490234 50 
 < 23:52:04 >  53,6299934387207 52,2858772277832 50 
 < 23:52:05 >  53,5012741088867 52,2858772277832 50 
 < 23:52:06 >  53,2065277099609 52,3148155212402 50 
 < 23:52:07 >  52,9101943969727 52,34375 50 
 < 23:52:08 >  52,6103591918945 52,3726844787598 50 
 < 23:52:09 >  52,3056983947754 52,4016189575195 50 
 < 23:52:10 >  52,1491394042969 52,4016189575195 50 
 < 23:52:11 >  51,8434715270996 52,4305534362793 50 
 < 23:52:12 >  51,6855278015137 52,4305534362793 50 
 < 23:52:13 >  51,6746635437012 52,4016189575195 50 
 < 23:52:14 >  51,4956855773926 52,4016189575195 50 
 < 23:52:15 >  51,1805953979492 52,4305534362793 50 
 < 23:52:16 >  51,0208358764648 52,4305534362793 35 
 < 23:52:17 >  0 52,4884262084961 35 
 < 23:52:18 >  0 52,5173606872559 35 
 < 23:52:19 >  0 52,5173606872559 35 
 < 23:52:20 >  0 52,5173606872559 35 
 < 23:52:21 >  0 52,4884262084961 35 
 < 23:52:22 >  0 52,4594917297363 35 
 < 23:52:23 >  0 52,4305534362793 35 
 < 23:52:24 >  0 52,4016189575195 35 
 < 23:52:25 >  0 52,3726844787598 35 
 < 23:52:26 >  0 52,3726844787598 35 
 < 23:52:27 >  0 52,34375 35 
 < 23:52:28 >  0 52,34375 35 
 < 23:52:29 >  0 52,3148155212402 35 
 < 23:52:30 >  0 52,2858772277832 35 
 < 23:52:31 >  0 52,2858772277832 35 
 < 23:52:32 >  0 52,2569427490234 35 
 < 23:52:33 >  0 52,2569427490234 35 
 < 23:52:34 >  0 52,2280082702637 35 
 < 23:52:35 >  0 52,1990737915039 35 
 < 23:52:36 >  0 52,1990737915039 35 
 < 23:52:37 >  0 52,1701393127441 35 
 < 23:52:38 >  0 52,1412010192871 35 
 < 23:52:39 >  0 52,1122665405273 35 
 < 23:52:40 >  0 52,0833320617676 35 
 < 23:52:41 >  0 52,0833320617676 35 
 < 23:52:42 >  0 52,0543975830078 35 
 < 23:52:43 >  0 52,025463104248 35 
 < 23:52:44 >  0 51,9675903320313 35 
 < 23:52:45 >  0 51,9675903320313 35 
 < 23:52:46 >  0 51,9097213745117 35 
 < 23:52:47 >  0 51,9097213745117 35 
 < 23:52:48 >  0 51,880786895752 35 
 < 23:52:49 >  0 51,8518524169922 35 
 < 23:52:50 >  0 51,8229141235352 35 
 < 23:52:51 >  0 51,7650451660156 35 
 < 23:52:52 >  0 51,7361106872559 35 
 < 23:52:53 >  0 51,7071762084961 35 
 < 23:52:54 >  0 51,6782417297363 35 
 < 23:52:55 >  0 51,6493034362793 35 
 < 23:52:56 >  0 51,5914344787598 35 
 < 23:52:57 >  0 51,5625 35 
 < 23:52:58 >  0 51,5335655212402 35 
 < 23:52:59 >  0 51,4756927490234 35 
 < 23:53:00 >  0 51,4467582702637 35 
 < 23:53:01 >  0 51,3888893127441 35 
 < 23:53:02 >  0 51,3599510192871 35 
 < 23:53:03 >  0 51,3020820617676 35 
 < 23:53:04 >  0 51,2731475830078 35 
 < 23:53:05 >  0 51,244213104248 35 
 < 23:53:06 >  0 51,1863403320313 35 
 < 23:53:07 >  0 51,1574058532715 35 
 < 23:53:08 >  0 51,099536895752 35 
 < 23:53:09 >  0 51,0416641235352 35 
 < 23:53:10 >  0 51,0127296447754 35 
 < 23:53:11 >  0 50,9837951660156 35 
 < 23:53:12 >  0 50,9259262084961 35 
 < 23:53:13 >  0 50,8969917297363 35 
 < 23:53:14 >  0 50,8391189575195 35 
 < 23:53:15 >  0 50,8101844787598 35 
 < 23:53:16 >  0 50,7523155212402 35 
 < 23:53:17 >  0 50,6944427490234 35 
 < 23:53:18 >  0 50,6655082702637 35 
 < 23:53:19 >  0 50,6076393127441 35 
 < 23:53:20 >  0 50,5497665405273 35 
 < 23:53:21 >  0 50,4918975830078 35 
 < 23:53:22 >  0 50,4340286254883 35 
 < 23:53:23 >  0 50,3761558532715 35 
 < 23:53:24 >  0 50,3472213745117 35 
 < 23:53:25 >  0 50,2893524169922 35 
 < 23:53:26 >  0 50,2314796447754 35 
 < 23:53:27 >  0 50,1736106872559 35 
 < 23:53:28 >  0 50,1446762084961 35 
 < 23:53:29 >  0 50,0868034362793 35 
 < 23:53:30 >  0 50,0289344787598 35 
 < 23:53:31 >  0 49,9710655212402 35 
 < 23:53:32 >  0 49,9131927490234 35 
 < 23:53:33 >  0 49,8553237915039 35 
 < 23:53:34 >  0 49,7974510192871 35 
 < 23:53:35 >  0 49,7106475830078 35 
 < 23:53:36 >  0 49,6238403320313 35 
 < 23:53:37 >  0 49,5659713745117 35 
 < 23:53:38 >  0 49,4791641235352 35 
 < 23:53:39 >  0 49,4212951660156 35 
 < 23:53:40 >  0 49,3344917297363 35 
 < 23:53:41 >  0 49,2766189575195 35 
 < 23:53:42 >  0 49,21875 35 
 < 23:53:43 >  0 49,1608772277832 35 
 < 23:53:44 >  0 49,1030082702637 35 
 < 23:53:45 >  0 49,0451393127441 35 
 < 23:53:46 >  0 48,9872665405273 35 
 < 23:53:47 >  0 48,9293975830078 35 
 < 23:53:48 >  0 48,900463104248 35 
 < 23:53:49 >  0 48,8425903320313 35 
 < 23:53:50 >  0 48,7847213745117 35 
 < 23:53:51 >  0 48,7268524169922 35 
 < 23:53:52 >  0 48,6979141235352 35 
 < 23:53:53 >  0 48,6400451660156 35 
 < 23:53:54 >  0 48,5821762084961 35 
 < 23:53:55 >  0 48,5243034362793 35 
 < 23:53:56 >  0 48,4664344787598 35 
 < 23:53:57 >  0 48,3796272277832 35 
 < 23:53:58 >  0 48,3506927490234 35 
 < 23:53:59 >  0 48,2638893127441 35 
 < 23:54:00 >  0 48,2060165405273 35 
 < 23:54:01 >  0 48,1481475830078 35 
 < 23:54:02 >  0 48,0902786254883 35 
 < 23:54:03 >  0 48,0324058532715 35 
 < 23:54:04 >  0 47,974536895752 35 
 < 23:54:05 >  0 47,9166641235352 35 
 < 23:54:06 >  0 47,8587951660156 35 
 < 23:54:07 >  0 47,8009262084961 35 
 < 23:54:08 >  0 47,7719917297363 35 
 < 23:54:09 >  0 47,7141189575195 35 
 < 23:54:10 >  0 47,65625 35 
 < 23:54:11 >  0 47,6273155212402 35 
 < 23:54:12 >  0 47,5694427490234 35 
 < 23:54:13 >  0 47,5115737915039 35 
 < 23:54:14 >  0 47,4537010192871 35 
 < 23:54:15 >  0 47,4247665405273 35 
 < 23:54:16 >  0 47,3668975830078 35 
 < 23:54:17 >  0 47,2800903320313 35 
 < 23:54:18 >  0 47,2222213745117 35 
 < 23:54:19 >  0 47,1354141235352 35 
 < 23:54:20 >  0 47,0775451660156 35 
 < 23:54:21 >  0 47,0196762084961 35 
 < 23:54:22 >  0 46,9618034362793 35 
 < 23:54:23 >  0 46,9039344787598 35 
 < 23:54:24 >  0 46,875 35 
 < 23:54:25 >  0 46,8171272277832 35 
 < 23:54:26 >  0 46,7592582702637 35 
 < 23:54:27 >  0 46,7013893127441 35 
 < 23:54:28 >  0 46,6724510192871 35 
 < 23:54:29 >  0 46,6145820617676 35 
 < 23:54:30 >  0 46,556713104248 35 
 < 23:54:31 >  0 46,5277786254883 35 
