 < 15:51:16 >  18,4253311157227 400 
 < 15:51:17 >  18,4253311157227 400 
 < 15:51:18 >  18,5120048522949 400 
 < 15:51:19 >  18,5120048522949 400 
 < 15:51:20 >  18,6140842437744 400 
 < 15:51:21 >  397,215850830078 18,629222869873 400 
 < 15:51:23 >  397,215850830078 18,8413200378418 400 
 < 15:51:24 >  397,215850830078 18,8413200378418 400 
 < 15:51:25 >  397,215850830078 18,8413200378418 400 
 < 15:51:26 >  397,035736083984 18,9090728759766 400 
 < 15:51:27 >  397,035736083984 18,9090728759766 400 
 < 15:51:28 >  397,035736083984 18,966552734375 400 
 < 15:51:29 >  397,035736083984 18,966552734375 400 
 < 15:51:30 >  397,035736083984 18,966552734375 400 
 < 15:51:31 >  396,973480224609 19,0773849487305 400 
 < 15:51:32 >  396,973480224609 19,1421146392822 400 
 < 15:51:33 >  396,973480224609 19,1421146392822 400 
 < 15:51:34 >  396,973480224609 18,9513854980469 400 
 < 15:51:35 >  398,1171875 18,9513854980469 400 
 < 15:51:36 >  398,1171875 18,9513854980469 400 
 < 15:51:37 >  398,1171875 18,7954959869385 400 
 < 15:51:38 >  398,1171875 18,9935264587402 400 
 < 15:51:39 >  398,1171875 18,9935264587402 400 
 < 15:51:40 >  399,572784423828 18,674596786499 400 
 < 15:51:41 >  399,572784423828 18,674596786499 400 
 < 15:51:42 >  399,572784423828 18,674596786499 400 
 < 15:51:43 >  399,748718261719 18,7783603668213 400 
 < 15:51:44 >  399,748718261719 18,7307682037354 400 
 < 15:51:45 >  399,748718261719 18,7307682037354 400 
 < 15:51:46 >  400,683288574219 18,4272441864014 400 
 < 15:51:47 >  400,971618652344 18,4272441864014 400 
 < 15:51:48 >  400,971618652344 18,5205516815186 400 
 < 15:51:49 >  400,971618652344 18,5205516815186 400 
 < 15:51:50 >  401,811279296875 18,3850936889648 400 
 < 15:51:51 >  401,811279296875 18,1510066986084 400 
 < 15:51:52 >  402,571105957031 18,1510066986084 400 
 < 15:51:53 >  402,571105957031 18,1510066986084 400 
 < 15:51:54 >  402,977325439453 17,915885925293 400 
 < 15:51:55 >  402,977325439453 17,915885925293 400 
 < 15:51:56 >  403,324951171875 17,7533531188965 400 
 < 15:51:57 >  403,324951171875 17,6464500427246 440 
 < 15:51:58 >  403,324951171875 17,6464500427246 440 
 < 15:51:59 >  403,324951171875 17,6464500427246 440 
 < 15:52:00 >  404,304840087891 26,4652729034424 440 
 < 15:52:01 >  404,304840087891 26,4652729034424 440 
 < 15:52:02 >  404,304840087891 27,1801948547363 440 
 < 15:52:03 >  411,497161865234 27,433967590332 440 
 < 15:52:04 >  411,497161865234 27,433967590332 440 
 < 15:52:05 >  411,497161865234 27,433967590332 440 
 < 15:52:06 >  414,106140136719 26,2290477752686 440 
 < 15:52:07 >  414,106140136719 26,2290477752686 440 
 < 15:52:08 >  418,728210449219 27,0769062042236 440 
 < 15:52:09 >  418,728210449219 26,6780376434326 440 
 < 15:52:10 >  418,728210449219 26,6780376434326 440 
 < 15:52:11 >  418,728210449219 26,6780376434326 440 
 < 15:52:12 >  424,452758789063 25,6801490783691 440 
 < 15:52:13 >  424,452758789063 25,6801490783691 440 
 < 15:52:14 >  429,412719726563 26,2189693450928 440 
 < 15:52:15 >  429,412719726563 25,5778903961182 440 
 < 15:52:16 >  433,774139404297 25,5778903961182 440 
 < 15:52:17 >  433,774139404297 25,5778903961182 440 
 < 15:52:18 >  433,774139404297 24,2645320892334 440 
 < 15:52:19 >  436,06396484375 24,7456455230713 440 
 < 15:52:20 >  436,06396484375 24,7456455230713 440 
 < 15:52:21 >  436,06396484375 24,7456455230713 440 
 < 15:52:22 >  441,184661865234 24,5128536224365 440 
 < 15:52:23 >  441,184661865234 24,5128536224365 440 
 < 15:52:24 >  442,563507080078 23,488712310791 440 
 < 15:52:25 >  442,563507080078 23,2147445678711 440 
 < 15:52:26 >  442,563507080078 23,2147445678711 440 
 < 15:52:27 >  447,944183349609 23,2147445678711 440 
 < 15:52:28 >  449,204528808594 21,454460144043 440 
 < 15:52:29 >  449,204528808594 21,454460144043 440 
 < 15:52:30 >  449,204528808594 21,518346786499 440 
 < 15:52:31 >  451,274963378906 21,2594337463379 440 
 < 15:52:32 >  451,274963378906 21,2594337463379 440 
 < 15:52:33 >  451,274963378906 21,2594337463379 440 
 < 15:52:35 >  454,045989990234 20,3541660308838 440 
 < 15:52:36 >  454,045989990234 19,3765811920166 440 
 < 15:52:37 >  454,045989990234 19,3765811920166 440 
 < 15:52:38 >  455,635223388672 19,1967315673828 400 
 < 15:52:39 >  455,890899658203 19,1967315673828 400 
 < 15:52:40 >  455,890899658203 19,1967315673828 400 
 < 15:52:41 >  456,83154296875 18,5743160247803 400 
 < 15:52:42 >  456,83154296875 8,60429382324219 400 
 < 15:52:43 >  456,83154296875 8,60429382324219 400 
 < 15:52:44 >  455,571746826172 7,37685251235962 400 
 < 15:52:45 >  452,645965576172 7,37685251235962 400 
 < 15:52:46 >  452,645965576172 7,37685251235962 400 
 < 15:52:47 >  452,645965576172 6,86437797546387 400 
 < 15:52:48 >  448,479766845703 5,8219313621521 400 
 < 15:52:49 >  448,479766845703 5,8219313621521 400 
 < 15:52:50 >  448,479766845703 5,24086046218872 400 
 < 15:52:51 >  443,562164306641 5,24086046218872 400 
 < 15:52:52 >  443,562164306641 5,24086046218872 400 
 < 15:52:53 >  441,590301513672 4,89621734619141 400 
 < 15:52:54 >  441,590301513672 4,64800596237183 400 
 < 15:52:55 >  441,590301513672 4,64800596237183 400 
 < 15:52:56 >  437,572235107422 4,00886535644531 400 
 < 15:52:57 >  437,572235107422 4,00886535644531 400 
 < 15:52:58 >  437,572235107422 4,00886535644531 400 
 < 15:52:59 >  433,639312744141 3,92513871192932 400 
 < 15:53:00 >  433,639312744141 4,42382097244263 400 
 < 15:53:01 >  433,639312744141 4,42382097244263 400 
 < 15:53:02 >  429,028228759766 3,47343969345093 400 
 < 15:53:03 >  424,921844482422 3,47343969345093 400 
 < 15:53:04 >  424,921844482422 3,47343969345093 400 
 < 15:53:05 >  423,1416015625 3,55321764945984 400 
 < 15:53:06 >  423,1416015625 3,58207225799561 400 
 < 15:53:07 >  417,899993896484 3,37952375411987 400 
 < 15:53:08 >  417,899993896484 3,37952375411987 400 
 < 15:53:09 >  417,899993896484 3,37952375411987 400 
 < 15:53:10 >  412,450439453125 3,9573609828949 400 
 < 15:53:11 >  412,450439453125 3,9573609828949 400 
 < 15:53:12 >  412,450439453125 3,7126898765564 400 
 < 15:53:13 >  407,748046875 4,77465391159058 400 
 < 15:53:14 >  407,748046875 4,77465391159058 400 
 < 15:53:15 >  406,247680664063 4,77465391159058 400 
 < 15:53:16 >  406,247680664063 5,67364120483398 400 
 < 15:53:17 >  406,247680664063 5,67364120483398 400 
 < 15:53:18 >  400,492248535156 5,29168844223022 400 
 < 15:53:19 >  400,492248535156 6,39184713363647 400 
 < 15:53:20 >  400,492248535156 6,39184713363647 400 
 < 15:53:21 >  395,809234619141 6,39184713363647 400 
 < 15:53:22 >  395,809234619141 7,76852989196777 400 
 < 15:53:23 >  395,809234619141 7,76852989196777 400 
 < 15:53:24 >  390,307678222656 7,57548809051514 400 
 < 15:53:25 >  390,307678222656 8,82375812530518 400 
 < 15:53:26 >  390,307678222656 8,82375812530518 400 
 < 15:53:27 >  385,5478515625 8,82375812530518 400 
 < 15:53:28 >  385,5478515625 9,43572521209717 400 
 < 15:53:29 >  380,186553955078 10,8280363082886 400 
 < 15:53:30 >  380,186553955078 10,8280363082886 400 
 < 15:53:31 >  380,186553955078 12,934720993042 400 
 < 15:53:32 >  375,825103759766 12,934720993042 400 
 < 15:53:33 >  375,825103759766 12,934720993042 400 
 < 15:53:34 >  374,727325439453 13,071084022522 400 
 < 15:53:35 >  371,947875976563 14,5438756942749 400 
 < 15:53:36 >  371,947875976563 14,5438756942749 400 
 < 15:53:37 >  371,947875976563 14,5438756942749 400 
 < 15:53:38 >  370,935302734375 16,0494270324707 400 
 < 15:53:39 >  370,935302734375 16,0494270324707 400 
 < 15:53:40 >  369,083129882813 16,4601383209229 400 
 < 15:53:41 >  369,083129882813 17,9294815063477 400 
 < 15:53:42 >  369,083129882813 17,9294815063477 400 
 < 15:53:43 >  368,575347900391 17,9294815063477 400 
 < 15:53:44 >  368,335357666016 18,3344478607178 400 
 < 15:53:45 >  368,335357666016 18,3344478607178 400 
 < 15:53:46 >  368,335357666016 19,2532634735107 400 
 < 15:53:48 >  368,447814941406 20,0942249298096 400 
 < 15:53:49 >  368,447814941406 20,0942249298096 400 
 < 15:53:50 >  369,335174560547 20,0942249298096 400 
 < 15:53:51 >  369,335174560547 20,76513671875 400 
 < 15:53:52 >  369,335174560547 20,76513671875 400 
 < 15:53:53 >  370,3193359375 21,3091640472412 400 
 < 15:53:54 >  370,3193359375 21,7646713256836 400 
 < 15:53:55 >  372,255554199219 21,7646713256836 400 
 < 15:53:56 >  372,255554199219 21,7646713256836 400 
 < 15:53:57 >  372,255554199219 22,5518531799316 400 
 < 15:53:58 >  373,454833984375 22,8371887207031 400 
 < 15:53:59 >  373,454833984375 22,8371887207031 400 
 < 15:54:00 >  375,824493408203 23,2039451599121 400 
 < 15:54:01 >  375,824493408203 23,2039451599121 400 
 < 15:54:02 >  375,824493408203 23,2039451599121 400 
 < 15:54:03 >  378,1494140625 23,303581237793 400 
 < 15:54:04 >  379,977416992188 23,3403148651123 400 
 < 15:54:05 >  379,977416992188 23,3403148651123 400 
 < 15:54:06 >  379,977416992188 23,9257869720459 400 
 < 15:54:07 >  383,177612304688 23,9257869720459 400 
 < 15:54:08 >  383,177612304688 23,9257869720459 400 
 < 15:54:09 >  383,177612304688 23,8888263702393 400 
 < 15:54:10 >  384,913146972656 23,4287643432617 400 
 < 15:54:11 >  384,913146972656 23,4287643432617 400 
 < 15:54:12 >  384,913146972656 24,0654411315918 400 
 < 15:54:13 >  388,500183105469 24,0654411315918 400 
 < 15:54:14 >  391,508209228516 23,1295528411865 400 
 < 15:54:15 >  391,508209228516 23,1295528411865 400 
