 < 16:14:44 >  398,829284667969 21,8236751556396 400 
 < 16:14:45 >  398,834106445313 21,8236751556396 400 
 < 16:14:46 >  398,834106445313 21,8236751556396 400 
 < 16:14:47 >  399,473083496094 21,8236751556396 400 
 < 16:14:48 >  403,188323974609 31,6900024414063 400 
 < 16:14:49 >  403,188323974609 31,6900024414063 400 
 < 16:14:50 >  403,188323974609 31,6900024414063 400 
 < 16:14:51 >  407,182861328125 31,6900024414063 400 
 < 16:14:52 >  407,182861328125 31,6900024414063 400 
 < 16:14:53 >  410,015563964844 31,6900024414063 400 
 < 16:14:54 >  410,015563964844 31,6900024414063 400 
 < 16:14:55 >  410,015563964844 31,6900024414063 400 
 < 16:14:56 >  415,449981689453 31,6900024414063 400 
 < 16:14:57 >  417,296722412109 31,6900024414063 400 
 < 16:14:58 >  417,296722412109 31,6900024414063 400 
 < 16:14:59 >  422,022064208984 31,6900024414063 400 
 < 16:15:00 >  422,022064208984 31,6900024414063 400 
 < 16:15:01 >  427,633636474609 31,6900024414063 400 
 < 16:15:02 >  427,633636474609 31,6900024414063 400 
 < 16:15:03 >  429,734222412109 31,6900024414063 400 
 < 16:15:04 >  435,356109619141 31,6900024414063 400 
 < 16:15:05 >  435,356109619141 31,6900024414063 400 
 < 16:15:06 >  435,356109619141 31,6900024414063 400 
 < 16:15:07 >  437,132720947266 31,6900024414063 400 
 < 16:15:08 >  437,132720947266 31,6900024414063 400 
 < 16:15:09 >  442,798095703125 31,6900024414063 400 
 < 16:15:10 >  447,530700683594 31,6900024414063 400 
 < 16:15:11 >  447,530700683594 31,6900024414063 400 
 < 16:15:12 >  447,530700683594 31,6900024414063 400 
 < 16:15:13 >  452,072906494141 31,6900024414063 400 
 < 16:15:14 >  452,072906494141 31,6900024414063 400 
 < 16:15:15 >  454,172332763672 31,6900024414063 400 
 < 16:15:16 >  456,333404541016 31,6900024414063 400 
 < 16:15:17 >  456,333404541016 31,6900024414063 400 
 < 16:15:18 >  456,333404541016 31,6900024414063 400 
 < 16:15:19 >  462,46484375 31,6900024414063 400 
 < 16:15:20 >  468,435455322266 31,6900024414063 400 
 < 16:15:21 >  468,435455322266 31,6900024414063 400 
 < 16:15:22 >  468,435455322266 31,6900024414063 400 
 < 16:15:23 >  470,471405029297 15,0000009536743 400 
 < 16:15:24 >  470,471405029297 15,0000009536743 400 
 < 16:15:25 >  472,818115234375 15,0000009536743 400 
