 < 17:00:52 >  19,659215927124 450 
 < 17:00:53 >  19,5558929443359 450 
 < 17:00:54 >  19,4622097015381 450 
 < 17:00:55 >  19,4622097015381 450 
 < 17:00:56 >  19,4622097015381 450 
 < 17:00:57 >  449,55517578125 19,6317367553711 450 
 < 17:00:58 >  449,55517578125 19,6317367553711 450 
 < 17:00:59 >  449,55517578125 19,6433715820313 450 
 < 17:01:00 >  449,55517578125 19,6433715820313 450 
 < 17:01:01 >  449,55517578125 19,6214256286621 450 
 < 17:01:02 >  449,55517578125 19,6214256286621 450 
 < 17:01:03 >  450,134887695313 19,4973773956299 450 
 < 17:01:04 >  450,134887695313 19,4973773956299 450 
 < 17:01:05 >  450,134887695313 19,5296401977539 450 
 < 17:01:06 >  450,134887695313 19,4616222381592 450 
 < 17:01:07 >  450,134887695313 19,4616222381592 450 
 < 17:01:08 >  450,134887695313 19,4616222381592 450 
 < 17:01:09 >  450,318054199219 19,4405784606934 450 
 < 17:01:10 >  450,318054199219 19,4405784606934 450 
 < 17:01:11 >  450,318054199219 19,534761428833 450 
 < 17:01:12 >  450,318054199219 19,479679107666 450 
 < 17:01:13 >  450,318054199219 19,479679107666 450 
 < 17:01:14 >  450,318054199219 19,479679107666 450 
 < 17:01:15 >  450,781677246094 19,1649112701416 450 
 < 17:01:16 >  450,781677246094 19,1649112701416 450 
 < 17:01:17 >  450,781677246094 19,2798500061035 450 
 < 17:01:18 >  450,781677246094 19,4490604400635 450 
 < 17:01:19 >  450,781677246094 19,4490604400635 450 
 < 17:01:20 >  450,781677246094 19,4490604400635 450 
 < 17:01:21 >  450,781677246094 19,4603385925293 450 
 < 17:01:22 >  450,134887695313 19,5198535919189 450 
 < 17:01:23 >  450,134887695313 19,5198535919189 450 
 < 17:01:24 >  450,134887695313 19,5198535919189 450 
 < 17:01:25 >  449,721405029297 19,5198535919189 450 
 < 17:01:26 >  449,721405029297 19,5198535919189 450 
 < 17:01:27 >  449,721405029297 19,5198535919189 450 
 < 17:01:28 >  449,721405029297 19,5198535919189 450 
 < 17:01:29 >  449,721405029297 19,5198535919189 450 
 < 17:01:30 >  449,974700927734 19,5198535919189 450 
 < 17:01:31 >  450,947326660156 19,5198535919189 450 
 < 17:01:32 >  450,947326660156 19,5198535919189 450 
 < 17:01:33 >  450,947326660156 19,5198535919189 450 
 < 17:01:34 >  451,711975097656 19,5198535919189 450 
 < 17:01:35 >  451,711975097656 19,5198535919189 450 
 < 17:01:36 >  451,711975097656 19,5198535919189 450 
 < 17:01:37 >  451,711975097656 19,5198535919189 450 
 < 17:01:38 >  451,711975097656 19,5198535919189 450 
 < 17:01:39 >  452,057800292969 19,5198535919189 450 
 < 17:01:40 >  452,979675292969 19,5198535919189 450 
 < 17:01:41 >  452,979675292969 19,5198535919189 450 
 < 17:01:42 >  452,979675292969 19,5198535919189 450 
 < 17:01:43 >  452,979675292969 19,5198535919189 450 
 < 17:01:44 >  452,979675292969 19,5198535919189 450 
 < 17:01:45 >  453,138031005859 19,5198535919189 450 
 < 17:01:46 >  453,032867431641 19,5198535919189 450 
 < 17:01:47 >  453,032867431641 19,5198535919189 450 
 < 17:01:49 >  453,032867431641 19,5198535919189 450 
 < 17:01:50 >  453,545471191406 19,5198535919189 450 
 < 17:01:51 >  453,545471191406 19,5198535919189 450 
 < 17:01:52 >  453,545471191406 19,5198535919189 450 
 < 17:01:53 >  453,545471191406 19,5198535919189 450 
 < 17:01:54 >  454,062927246094 19,5198535919189 450 
 < 17:01:55 >  454,062927246094 19,5198535919189 450 
 < 17:01:56 >  454,062927246094 19,5198535919189 450 
 < 17:01:57 >  454,062927246094 19,5198535919189 450 
 < 17:01:58 >  454,062927246094 19,5198535919189 450 
 < 17:01:59 >  454,830657958984 19,5198535919189 450 
 < 17:02:00 >  454,830657958984 19,5198535919189 450 
 < 17:02:01 >  454,830657958984 19,5198535919189 450 
 < 17:02:02 >  455,517944335938 19,5198535919189 450 
 < 17:02:03 >  455,517944335938 19,5198535919189 450 
 < 17:02:04 >  455,517944335938 19,5198535919189 450 
